SUBSCRIBER_ID,TENURE,MONTHLY_CHARGES,TOTAL_CHARGES,CONTRACT_TYPE,PAYMENT_METHOD,WAIVER_ACTIVE,SUPPORT_CALLS,CHURN
6072804,78,4575.36,356878.08,Prepaid,Cash,Yes,11,1
6041938,50,12168.25,608412.5,Prepaid,Credit Card,NULL,NULL,0
6038562,3,6824.79,20474.37,Prepaid,Credit Card,No,19,0
6064075,117,14962.38,1750598.46,Prepaid,Cash,Yes,43,1
6009251,59,3525.61,208010.99,Postpaid,Bank Transfer,Yes,8,0
6097146,16,10124.86,161997.76,Postpaid,Credit Card,No,25,0
6025389,87,5824.47,506728.89,Prepaid,Cheque,Yes,16,1
6083417,30,13425.73,402771.9,Postpaid,Cash,NULL,2,0
6051894,99,2425.69,240143.31,Postpaid,Credit Card,No,34,1
6016028,10,8475.28,84752.8,Postpaid,Credit Card,Yes,49,0
6078671,115,4325.91,497479.65,Postpaid,Bank Transfer,Yes,6,0
6045209,46,11625.37,534767.02,Prepaid,Cash,No,21,1
6032786,25,7725.84,193146,Prepaid,Cheque,Yes,13,0
6069132,81,14375.62,1164425.22,Postpaid,Credit Card,Yes,NULL,1
6001567,53,1225.48,64950.44,Postpaid,Cash,No,31,0
6094850,1,9625.76,9625.76,Prepaid,Credit Card,NULL,17,0
6027943,97,5075.39,492312.83,Prepaid,Bank Transfer,Yes,40,1
6081205,40,12825.94,513037.6,Postpaid,Credit Card,No,9,0
6057481,68,2925.67,198945.56,Prepaid,Cash,Yes,24,0
6019376,21,6925.83,145442.43,Postpaid,Cheque,Yes,4,1
6074930,93,11175.26,1039299.18,Prepaid,Credit Card,No,36,0
6048612,36,15225.49,548117.64,Prepaid,Credit Card,Yes,15,1
6030549,108,3725.68,402373.44,Prepaid,Bank Transfer,NULL,28,0
6062751,56,8225.37,460620.72,Postpaid,Cash,No,1,0
6006384,4,4725.91,18903.64,Prepaid,Credit Card,Yes,45,1
6099217,79,12475.62,985573.98,Postpaid,Cheque,Yes,10,0
6023850,44,6125.84,269536.96,Prepaid,Credit Card,No,NULL,1
6085463,102,13925.76,1420427.52,Prepaid,Cash,Yes,33,0
6050719,29,2125.38,61636.02,Prepaid,Bank Transfer,No,7,0
6018245,85,9925.65,843680.25,Prepaid,Credit Card,NULL,20,1
6071308,NULL,5525.27,#VALUE!,Prepaid,Credit Card,Yes,42,0
6047591,62,14775.93,916107.66,Prepaid,Cash,Yes,12,0
6036925,18,7825.46,140858.28,Postpaid,Cheque,No,26,1
6064187,74,11525.84,852912.16,Prepaid,Credit Card,Yes,5,0
6003471,51,3225.69,164510.19,Postpaid,Bank Transfer,No,38,1
6098652,106,8725.37,924889.22,Prepaid,Cash,Yes,18,0
6021749,33,15000,495000,Prepaid,Credit Card,NULL,NULL,0
6087395,92,1925.58,177153.36,Prepaid,Credit Card,No,29,1
6054832,27,7225.91,195099.57,Prepaid,Cheque,Yes,14,0
6015967,114,4625.36,527291.04,Postpaid,Cash,Yes,47,0
6072415,48,13325.74,639635.52,Postpaid,Bank Transfer,No,3,1
6040389,70,6625.28,463769.6,Postpaid,Credit Card,Yes,35,0
6038176,13,10425.63,135533.19,Postpaid,Cash,Yes,22,1
6069504,89,2575.47,229216.83,Postpaid,Credit Card,No,8,0
6005823,37,8125.86,300656.82,Postpaid,Credit Card,NULL,41,0
6093108,103,14225.39,1465215.17,Postpaid,Bank Transfer,Yes,16,1
6029475,24,3975.72,95417.28,Postpaid,Cheque,No,0,0
6081659,76,11875.54,902541.04,Postpaid,Cash,Yes,27,1
6057214,60,5375.91,322554.6,Prepaid,Credit Card,Yes,13,0
6014082,6,9625.48,57752.88,Prepaid,Credit Card,No,NULL,0
6076548,111,7075.26,785353.86,Postpaid,Cash,Yes,39,1
6042967,41,13625.83,558659.03,Prepaid,Bank Transfer,NULL,6,0
6035814,15,1675.64,25134.6,Prepaid,Cheque,No,23,0
6061329,98,8875.37,869786.26,Prepaid,Credit Card,Yes,50,1
6008795,53,4825.92,255773.76,Prepaid,Cash,Yes,11,0
6096421,84,12925.46,1085738.64,Postpaid,Credit Card,No,32,1
6023506,19,6025.78,114489.82,Postpaid,Credit Card,Yes,4,0
6084873,67,15125.35,1013398.45,Prepaid,Bank Transfer,No,18,0
6059140,120,2775.69,333082.8,Postpaid,Cash,Yes,44,1
6012639,32,7475.42,239213.44,Postpaid,Cheque,NULL,9,0
6075081,87,11375.86,989699.82,Prepaid,Credit Card,Yes,25,1
6047235,10,4175.23,41752.3,Prepaid,Cash,No,NULL,0
6031498,58,14075.94,816404.52,Prepaid,Credit Card,Yes,15,0
6068752,72,2275.61,163843.92,Prepaid,Bank Transfer,Yes,37,1
6004316,45,9725.38,437642.1,Prepaid,Credit Card,No,2,0
6092074,109,5925.72,645903.48,Postpaid,Cash,NULL,30,0
6026891,26,12425.67,323067.42,Postpaid,Cheque,Yes,12,1
6089540,95,7625.31,724404.45,Prepaid,Credit Card,No,46,0
6053768,14,14825.89,207562.46,Prepaid,Credit Card,Yes,7,1
6017425,81,3475.46,281512.26,Postpaid,Bank Transfer,Yes,21,0
6071983,39,10625.73,414403.47,Postpaid,Cash,No,34,0
6045607,116,5225.19,606122.04,Postpaid,Credit Card,Yes,5,1
6038120,50,13225.64,661282,Postpaid,Cheque,NULL,28,0
6062439,4,1875.52,7502.08,Postpaid,Credit Card,No,17,1
6009182,91,9025.86,821353.26,Postpaid,Cash,Yes,NULL,0
6095746,63,6375.24,401640.12,Prepaid,Bank Transfer,Yes,43,0
6021378,22,11725.93,257970.46,Prepaid,Credit Card,No,10,1
6083054,104,2875.61,299063.44,Prepaid,Cash,Yes,36,0
6056892,35,15425.48,539891.8,Prepaid,Credit Card,No,1,0
6018547,77,4325.76,333083.52,Prepaid,Cheque,NULL,24,1
6074201,12,8225.35,98704.2,Prepaid,Bank Transfer,Yes,40,0
6049713,86,4925.87,423624.82,Prepaid,Credit Card,Yes,8,1
6032865,47,11075.42,520544.74,Postpaid,Cash,No,19,0
6067518,100,7025.69,702569,Prepaid,Credit Card,Yes,33,0
6005249,29,14575.36,422685.44,Prepaid,Credit Card,No,6,1
6091630,68,2375.84,161557.12,Prepaid,Cash,Yes,27,0
6028457,54,9325.27,503564.58,Postpaid,Bank Transfer,NULL,NULL,1
6086172,8,5775.91,46207.28,Postpaid,Cheque,No,14,0
6050384,113,12675.43,1432323.59,Prepaid,Credit Card,Yes,48,0
6019731,43,3775.62,162351.66,Prepaid,Cash,Yes,3,1
6075869,17,10175.38,172981.46,Prepaid,Credit Card,No,31,0
6042148,96,6525.74,626471.04,Prepaid,Bank Transfer,Yes,16,0
6037590,61,13725.95,837282.95,Prepaid,Credit Card,Yes,45,1
6064823,31,2075.46,64339.26,Prepaid,Cheque,No,11,0
6001965,118,8725.83,1029647.94,Prepaid,Cash,NULL,22,1
6097381,25,4575.29,114382.25,Postpaid,Credit Card,Yes,4,0
6024509,79,11925.68,942128.72,Prepaid,Credit Card,No,38,0
6089316,52,7975.41,414721.32,Prepaid,Bank Transfer,Yes,20,1
6052740,11,15075.86,165834.46,Postpaid,Cash,No,NULL,0
6016853,90,3175.53,285797.7,Postpaid,Cheque,Yes,29,1
6071492,36,9425.79,339328.44,Postpaid,Credit Card,Yes,7,0
6048075,105,6825.24,716650.2,Postpaid,Cash,NULL,42,0
6035201,57,12875.91,733926.87,Prepaid,Credit Card,No,13,1
6063987,20,2725.64,54512.8,Postpaid,Credit Card,Yes,35,0
6007534,73,11225.37,819452.01,Prepaid,Bank Transfer,Yes,0,0
6090148,46,5125.82,235787.72,Prepaid,Cash,No,26,1
6029673,114,14625.58,1667316.12,Prepaid,Cheque,Yes,18,0
6082419,28,3925.73,109920.44,Prepaid,Credit Card,NULL,49,1
6058176,83,8325.46,691013.18,Prepaid,Cash,No,5,0
6013524,65,5925.89,385182.85,Prepaid,Credit Card,Yes,23,0
6076905,7,12025.31,84177.17,Prepaid,Bank Transfer,Yes,NULL,1
6041283,99,7525.67,745041.33,Prepaid,Credit Card,No,12,0
6038759,34,13875.94,471781.96,Postpaid,Cash,Yes,37,1
6065301,56,1775.26,99414.56,Prepaid,Cheque,Yes,9,0
6004821,18,9825.71,176862.78,Prepaid,Credit Card,No,30,0
6093567,110,6225.48,684802.8,Prepaid,Credit Card,NULL,15,1
6027045,40,14325.86,573034.4,Postpaid,Bank Transfer,Yes,44,0
6081632,69,3425.39,236351.91,Postpaid,Cash,No,2,0
6054918,15,10525.72,157885.8,Prepaid,Credit Card,Yes,28,1
6019207,94,4625.83,434828.02,Prepaid,Cheque,Yes,41,0
6072486,51,13125.64,669407.64,Prepaid,Cash,No,6,1
6046790,82,2625.91,215324.62,Prepaid,Credit Card,Yes,19,0
6033147,3,8925.37,26776.11,Prepaid,Bank Transfer,NULL,34,0
6068059,119,5425.76,645665.44,Postpaid,Credit Card,No,NULL,1
6009473,27,15325.49,413788.23,Postpaid,Cash,Yes,17,0
6092851,71,7125.83,505933.93,Prepaid,Credit Card,Yes,46,1
6025164,59,11625.28,685891.52,Postpaid,Cheque,No,8,0
6087340,12,2025.67,24308.04,Prepaid,Credit Card,Yes,25,0
6051627,88,9625.42,847036.96,Prepaid,Cash,No,3,1
6018743,44,6725.86,295937.84,Prepaid,Bank Transfer,NULL,39,0
6079538,102,12525.39,1277589.78,Postpaid,Credit Card,Yes,21,0
6043905,30,3625.74,108772.2,Postpaid,Credit Card,Yes,10,1
6036478,75,14725.61,1104420.75,Postpaid,Cash,No,50,0
6062184,21,8225.93,172744.53,Postpaid,Cheque,Yes,14,1
6005319,97,5525.38,535961.86,Prepaid,Credit Card,No,32,0
6098416,64,10825.72,692846.08,Prepaid,Bank Transfer,Yes,0,0
6021593,6,4225.47,25352.82,Postpaid,Cash,NULL,27,1
6084725,115,13975.86,1607223.9,Prepaid,Credit Card,No,NULL,0
6057931,38,1875.35,71263.3,Prepaid,Credit Card,Yes,36,1
6014069,85,9125.68,775682.8,Postpaid,Cheque,Yes,5,0
6072841,49,6325.94,309971.06,Postpaid,Cash,No,18,0
6049156,16,15225.73,243611.68,Postpaid,Bank Transfer,Yes,43,1
6037280,108,2925.46,315949.68,Postpaid,Credit Card,Yes,11,0
6065704,33,11975.82,395202.06,Postpaid,Cash,No,24,0
6003187,78,7725.39,602580.42,Postpaid,Credit Card,NULL,7,1
6096542,53,13525.64,716858.92,Prepaid,Credit Card,Yes,31,0
6028419,9,4825.91,43433.19,Postpaid,Bank Transfer,No,16,0
6081057,92,10125.36,931533.12,Prepaid,Cheque,Yes,48,1
6054376,42,3425.87,143886.54,Postpaid,Cash,Yes,2,0
6019824,117,8625.49,1009182.33,Prepaid,Credit Card,No,20,1
6071635,24,5725.73,137417.52,Prepaid,Credit Card,Yes,38,0
6045082,66,12825.28,846468.48,Postpaid,Cash,NULL,NULL,0
6032719,55,2225.94,122426.7,Prepaid,Bank Transfer,No,13,1
6068943,13,14525.67,188833.71,Prepaid,Cheque,Yes,45,0
6007451,101,6925.31,699456.31,Prepaid,Credit Card,Yes,9,0
6093124,31,11425.86,354201.66,Prepaid,Cash,No,29,1
6026785,80,3925.45,314036,Postpaid,Credit Card,Yes,4,0
6089501,47,9525.72,447708.84,Prepaid,Credit Card,No,35,1
6052847,4,5325.68,21302.72,Postpaid,Bank Transfer,NULL,22,0
6015376,112,13775.39,1542843.68,Prepaid,Cash,Yes,6,0
6078264,60,1625.74,97544.4,Prepaid,Cheque,Yes,40,1
6041907,18,8325.26,149854.68,Prepaid,Credit Card,No,15,0
6038641,93,6125.91,569709.63,Prepaid,Cash,Yes,26,1
6064315,37,14925.48,552242.76,Prepaid,Credit Card,No,1,0
6009728,69,2825.63,194968.47,Prepaid,Bank Transfer,Yes,NULL,0
6095403,26,10725.87,278872.62,Prepaid,Credit Card,NULL,33,1
6023178,84,4525.39,380132.76,Postpaid,Cash,No,12,0
6086594,50,12125.76,606288,Prepaid,Cheque,Yes,47,0
6051083,7,7375.24,51626.68,Prepaid,Credit Card,Yes,8,1
6017952,106,14225.68,1507922.08,Prepaid,Credit Card,No,21,0
6072430,45,1975.86,88913.7,Prepaid,Bank Transfer,Yes,37,1
6048761,15,8825.41,132381.15,Prepaid,Cash,Yes,3,0
6035897,98,5625.73,551321.54,Postpaid,Credit Card,No,28,0
6061204,62,13025.49,807580.38,Postpaid,Cheque,NULL,17,1
6004836,23,3175.92,73046.16,Postpaid,Credit Card,Yes,44,0
6097258,118,9725.38,1147594.84,Prepaid,Cash,No,10,1
6020649,35,6425.67,224898.45,Prepaid,Bank Transfer,Yes,30,0
6083145,76,15175.26,1153319.76,Postpaid,Credit Card,No,5,0
6056712,11,4075.84,44834.24,Prepaid,Cash,Yes,NULL,1
6019384,89,11825.53,1052472.17,Postpaid,Credit Card,Yes,19,0
6075920,54,7625.91,411799.14,Prepaid,Cheque,NULL,42,0
6042578,2,13475.37,26950.74,Postpaid,Bank Transfer,No,14,1
6038105,120,2475.68,297081.6,Postpaid,Credit Card,Yes,34,0
6067439,41,9225.49,378245.09,Postpaid,Cash,Yes,0,1
6001257,73,5025.86,366887.78,Postpaid,Credit Card,No,25,0
6094813,28,14675.23,410906.44,Prepaid,Credit Card,Yes,39,0
6028964,100,3725.74,372574,Prepaid,Cash,NULL,7,1
6085309,58,11125.39,645272.62,Postpaid,Bank Transfer,No,46,0
6057426,14,6925.57,96957.98,Prepaid,Cheque,Yes,11,1
6013708,87,1575.83,137097.21,Prepaid,Credit Card,Yes,23,0
6079154,39,11875.42,463141.38,Postpaid,Cash,No,16,0
6046382,65,6425.76,417674.4,Postpaid,Credit Card,Yes,50,1
6031574,17,9350.28,158954.76,Prepaid,Bank Transfer,Yes,2,0
6062849,103,15425.63,1588839.89,Postpaid,Credit Card,No,NULL,0
6007591,52,2875.94,149548.88,Postpaid,Cheque,NULL,18,1
6090238,8,10675.37,85402.96,Postpaid,Cash,Yes,42,0
6025417,94,5125.89,481833.66,Prepaid,Credit Card,No,7,1
6088732,46,13925.46,640571.16,Postpaid,Credit Card,Yes,NULL,0
6051940,29,3725.58,108041.82,Prepaid,Bank Transfer,Yes,26,0
6018265,114,8275.92,943454.88,Prepaid,Cash,No,11,1
6074638,36,NULL,#VALUE!,Postpaid,Cheque,NULL,35,0
6049150,81,4525.67,366579.27,Postpaid,Credit Card,Yes,4,1
6036728,19,12175.34,231331.46,Postpaid,Cash,No,49,0
6063185,70,6875.81,481306.7,Postpaid,Credit Card,Yes,13,0
6004579,56,14825.29,830216.24,Prepaid,Credit Card,No,22,1
6098412,10,1975.73,19757.3,Prepaid,Bank Transfer,Yes,0,0
6021765,107,9725.64,1040643.48,Prepaid,Cash,Yes,31,0
6087241,43,5525.38,237591.34,Postpaid,Cheque,No,16,1
6055397,25,13275.91,331897.75,Prepaid,Credit Card,Yes,45,0
6012847,96,3425.56,328853.76,Prepaid,Cash,NULL,8,1
6071583,61,11525.84,703076.24,Prepaid,Credit Card,No,28,0
6046825,32,7625.19,244006.08,Prepaid,Bank Transfer,Yes,5,0
6039071,79,4250.63,335799.77,Prepaid,Credit Card,Yes,NULL,1
6064502,48,14575.28,699613.44,Postpaid,Cash,No,37,0
6006139,5,8925.47,44627.35,Prepaid,Cheque,Yes,14,1
6092754,116,6375.92,739606.72,Postpaid,Credit Card,No,20,0
6028316,34,10125.35,344261.9,Postpaid,Credit Card,NULL,33,0
6081475,68,2675.84,181957.12,Postpaid,Bank Transfer,Yes,9,1
6059603,12,11825.69,141908.28,Postpaid,Cash,Yes,46,0
6017482,90,5075.42,456787.8,Prepaid,Credit Card,No,2,0
6073915,57,15675.31,893492.67,Postpaid,Cheque,Yes,25,1
6042086,22,7325.86,161168.92,Postpaid,Credit Card,No,40,0
6035642,105,3625.49,380676.45,Prepaid,Cash,Yes,12,1
6068137,40,12875.74,515029.6,Postpaid,Bank Transfer,NULL,30,0
6009845,74,2175.63,160996.62,Prepaid,Credit Card,No,6,0
6095162,16,9825.28,157204.48,Prepaid,Cash,Yes,48,1
6023498,99,6125.79,606453.21,Prepaid,Credit Card,Yes,17,0
6086754,63,13675.41,861550.83,Prepaid,Cheque,No,NULL,1
6051237,3,4875.92,14627.76,Prepaid,Credit Card,Yes,23,0
6018946,111,8525.36,946314.96,Postpaid,Cash,Yes,36,0
6072409,51,3275.68,167059.68,Postpaid,Bank Transfer,No,10,1
6047318,86,14425.57,1240599.02,Prepaid,Credit Card,NULL,41,0
6032854,27,7925.83,213997.41,Postpaid,Credit Card,Yes,15,0
6065471,72,11725.46,844233.12,Postpaid,Cash,No,27,1
6004268,59,1825.94,107730.46,Prepaid,Cheque,Yes,3,0
6097835,18,6925.37,124656.66,Postpaid,Credit Card,Yes,50,1
6020159,104,12575.82,1307885.28,Prepaid,Bank Transfer,No,19,0
6089314,38,5725.26,217559.88,Postpaid,Cash,Yes,8,0
6056748,82,14725.93,1207526.26,Postpaid,Credit Card,NULL,34,1
6013529,45,3925.48,176646.6,Postpaid,Credit Card,No,NULL,0
6078491,13,10475.61,136182.93,Postpaid,Cheque,Yes,21,1
6041637,117,4625.79,541217.43,Prepaid,Cash,Yes,44,0
6037205,30,13825.34,414760.2,Postpaid,Bank Transfer,No,5,0
6062981,67,2425.86,162532.62,Prepaid,Credit Card,Yes,29,1
6008754,54,8125.47,438775.38,Prepaid,Cash,No,13,0
6094372,9,15275.69,137481.21,Prepaid,Credit Card,NULL,38,0
6026819,95,6325.18,600892.1,Postpaid,Credit Card,Yes,1,1
6081504,42,11975.53,502972.26,Prepaid,Bank Transfer,Yes,24,0
6059827,78,3575.92,278921.76,Prepaid,Cheque,No,47,1
6015630,20,9275.36,185507.2,Postpaid,Cash,Yes,11,0
6073145,109,5425.84,591416.56,Prepaid,Credit Card,No,32,0
6048972,64,13325.27,852817.28,Prepaid,Credit Card,Yes,16,1
6032481,35,2875.69,100649.15,Prepaid,Cash,NULL,NULL,0
6067314,83,11075.42,919259.86,Prepaid,Bank Transfer,No,39,1
6005198,7,6825.91,47781.37,Prepaid,Cheque,Yes,6,0
6090625,113,14975.38,1692217.94,Prepaid,Credit Card,Yes,18,0
6029437,49,4175.63,204605.87,Prepaid,Cash,No,43,1
6084761,26,8725.54,226864.04,Prepaid,Credit Card,Yes,14,0
6052109,92,5275.89,485381.88,Postpaid,Credit Card,Yes,26,0
6018372,55,12075.26,664139.3,Postpaid,Bank Transfer,No,0,1
6075806,15,7625.73,114385.95,Prepaid,Cash,NULL,35,0
6043259,101,14275.48,1441823.48,Postpaid,Cheque,Yes,22,1
6036948,37,3125.96,115660.52,Prepaid,Credit Card,No,9,0
6069125,70,9675.35,677274.5,Postpaid,Cash,Yes,49,0
6002847,58,5925.82,343697.56,Prepaid,Credit Card,Yes,4,1
6095418,4,13175.67,52702.68,Prepaid,Bank Transfer,No,31,0
6021374,119,2275.39,270771.41,Postpaid,Credit Card,Yes,17,1
6087592,44,11425.84,502736.96,Prepaid,Cash,NULL,NULL,0
6054861,88,4575.62,402654.56,Postpaid,Cheque,No,28,0
6019704,21,15525.91,326044.11,Prepaid,Credit Card,Yes,12,1
6072583,106,6525.47,691699.82,Postpaid,Credit Card,Yes,45,0
6046105,33,10875.28,358884.24,Postpaid,Bank Transfer,No,7,0
6038712,75,3725.83,279437.25,Prepaid,Cash,Yes,20,1
6063497,62,12675.56,785884.72,Postpaid,Credit Card,No,37,0
6007941,11,8175.39,89929.29,Prepaid,Cheque,NULL,3,1
6091235,97,14625.74,1418696.78,Prepaid,Credit Card,Yes,50,0
6028567,50,2975.68,148784,Postpaid,Cash,Yes,15,0
6080349,24,9975.42,239410.08,Postpaid,Bank Transfer,No,33,1
6056719,115,5625.86,646973.9,Prepaid,Credit Card,Yes,10,0
6014852,39,13725.31,535287.09,Postpaid,Cash,No,NULL,1
6079436,80,1875.57,150045.6,Postpaid,Credit Card,Yes,24,0
6042180,53,8825.93,467774.29,Prepaid,Cheque,NULL,42,0
6035609,6,4725.29,28351.74,Prepaid,Bank Transfer,No,5,1
6061875,110,15125.64,1663820.4,Postpaid,Credit Card,Yes,19,0
6009324,29,7025.38,203736.02,Prepaid,Cash,Yes,36,0
6094751,71,11675.82,828983.22,Prepaid,Credit Card,No,8,1
6027408,14,3425.94,47963.16,Prepaid,Credit Card,Yes,46,0
6086935,102,9250.47,943547.94,Postpaid,Cash,Yes,13,1
6051248,46,6125.36,281766.56,Postpaid,Bank Transfer,No,27,0
6018593,84,12825.79,1077366.36,Prepaid,Cheque,NULL,1,0
6073862,19,2525.83,47990.77,Prepaid,Credit Card,Yes,34,1
6049571,66,14375.58,948788.28,Prepaid,Cash,No,21,0
6032416,56,4925.41,275822.96,Postpaid,Credit Card,Yes,NULL,1
6068054,8,10575.92,84607.36,Postpaid,Bank Transfer,No,48,0
6001789,118,7325.67,864429.06,Postpaid,Credit Card,Yes,11,0
6096547,31,13475.26,417733.06,Prepaid,Cheque,Yes,30,1
6023815,93,3875.84,360453.12,Postpaid,Cash,NULL,6,0
6089243,41,11825.35,484839.35,Postpaid,Credit Card,No,40,0
6055176,73,5825.73,425278.29,Postpaid,Credit Card,Yes,16,1
6016034,17,14925.61,253735.37,Prepaid,Bank Transfer,Yes,25,0
6071428,99,2725.48,269822.52,Prepaid,Cash,No,2,1
6047350,60,8425.96,505557.6,Postpaid,Cheque,Yes,39,0
6038901,12,6625.37,79504.44,Prepaid,Credit Card,NULL,14,0
6062547,107,14025.82,1500762.74,Postpaid,Cash,No,47,1
6008462,36,3125.69,112524.84,Prepaid,Credit Card,Yes,9,0
6093175,85,9725.54,826670.9,Prepaid,Credit Card,Yes,23,1
6025783,52,5225.93,271748.36,Prepaid,Bank Transfer,No,35,0
6081647,3,12625.28,37875.84,Prepaid,Cash,Yes,NULL,0
6059301,114,4525.76,515936.64,Prepaid,Cheque,Yes,18,1
6014728,48,15225.39,730818.72,Prepaid,Credit Card,No,44,0
6078596,76,6975.84,530163.84,Prepaid,Cash,NULL,7,0
6042863,25,11225.57,280639.25,Postpaid,Credit Card,Yes,29,1
6037159,91,3625.31,329903.21,Prepaid,Bank Transfer,No,12,0
6060482,57,13725.86,782374.02,Prepaid,Credit Card,Yes,50,1
6005917,10,2125.74,21257.4,Prepaid,Cash,Yes,4,0
6098430,103,8750.42,901293.26,Prepaid,Cheque,No,32,0
6021305,34,5475.63,186171.42,Postpaid,Credit Card,Yes,15,1
6084769,68,14525.79,987753.72,Prepaid,Credit Card,NULL,41,0
6052814,45,7825.36,352141.2,Postpaid,Bank Transfer,No,0,1
6019635,22,10375.91,228270.02,Prepaid,Cash,Yes,26,0
6075208,120,2975.47,357056.4,Postpaid,Credit Card,Yes,37,0
6041784,40,12475.82,499032.8,Prepaid,Cheque,No,10,1
